Checkin ID,Location ID,Location Name,Date,Month,Day of Week,Hour,Time Slot,Member Visits,Location Capacity,Utilization %,Overcrowded,Estimated Wait Minutes,Is Weekend,Is Peak Hour
CHK0000001,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,5,05:00,16,180,8.9,No,0,No,No
CHK0000002,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,6,06:00,44,180,24.4,No,0,No,No
CHK0000003,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,7,07:00,98,180,54.4,No,0,No,No
CHK0000004,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,8,08:00,85,180,47.2,No,0,No,No
CHK0000005,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,9,09:00,57,180,31.7,No,0,No,No
CHK0000006,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,10,10:00,37,180,20.6,No,0,No,No
CHK0000007,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,11,11:00,43,180,23.9,No,0,No,No
CHK0000008,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,12,12:00,70,180,38.9,No,0,No,No
CHK0000009,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,13,13:00,56,180,31.1,No,0,No,No
CHK0000010,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,14,14:00,37,180,20.6,No,0,No,No
CHK0000011,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,15,15:00,46,180,25.6,No,0,No,No
CHK0000012,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,16,16:00,99,180,55.0,No,0,No,No
CHK0000013,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,17,17:00,174,180,96.7,Yes,6,No,Yes
CHK0000014,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,18,18:00,201,180,111.7,Yes,13,No,Yes
CHK0000015,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,19,19:00,166,180,92.2,Yes,4,No,Yes
CHK0000016,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,20,20:00,105,180,58.3,No,0,No,No
CHK0000017,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,21,21:00,68,180,37.8,No,0,No,No
CHK0000018,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,22,22:00,33,180,18.3,No,0,No,No
CHK0000019,LOC-001,Mississauga City Centre,2024-01-01,2024-01,Monday,23,23:00,12,180,6.7,No,0,No,No
CHK0000020,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,5,05:00,15,180,8.3,No,0,No,No
CHK0000021,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,6,06:00,46,180,25.6,No,0,No,No
CHK0000022,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,7,07:00,78,180,43.3,No,0,No,No
CHK0000023,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,8,08:00,72,180,40.0,No,0,No,No
CHK0000024,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,9,09:00,58,180,32.2,No,0,No,No
CHK0000025,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,10,10:00,48,180,26.7,No,0,No,No
CHK0000026,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,11,11:00,38,180,21.1,No,0,No,No
CHK0000027,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,12,12:00,72,180,40.0,No,0,No,No
CHK0000028,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,13,13:00,57,180,31.7,No,0,No,No
CHK0000029,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,14,14:00,38,180,21.1,No,0,No,No
CHK0000030,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,15,15:00,37,180,20.6,No,0,No,No
CHK0000031,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,16,16:00,88,180,48.9,No,0,No,No
CHK0000032,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,17,17:00,126,180,70.0,No,0,No,Yes
CHK0000033,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,18,18:00,130,180,72.2,No,0,No,Yes
CHK0000034,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,19,19:00,161,180,89.4,Yes,2,No,Yes
CHK0000035,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,20,20:00,102,180,56.7,No,0,No,No
CHK0000036,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,21,21:00,70,180,38.9,No,0,No,No
CHK0000037,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,22,22:00,29,180,16.1,No,0,No,No
CHK0000038,LOC-001,Mississauga City Centre,2024-01-02,2024-01,Tuesday,23,23:00,10,180,5.6,No,0,No,No
CHK0000039,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,5,05:00,16,180,8.9,No,0,No,No
CHK0000040,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,6,06:00,36,180,20.0,No,0,No,No
