Location ID,Location Name,Hour,Time Slot,Avg Member Visits,Location Capacity,Avg Utilization %,Overcrowded % of Days,Avg Wait Minutes When Overcrowded,Is Peak Hour
LOC-001,Mississauga City Centre,5,05:00,12.4,180,6.9,0.0,0.0,No
LOC-001,Mississauga City Centre,6,06:00,35.2,180,19.6,0.0,0.0,No
LOC-001,Mississauga City Centre,7,07:00,77.6,180,43.1,0.0,0.0,No
LOC-001,Mississauga City Centre,8,08:00,61.1,180,33.9,0.0,0.0,No
LOC-001,Mississauga City Centre,9,09:00,45.0,180,25.0,0.0,0.0,No
LOC-001,Mississauga City Centre,10,10:00,35.5,180,19.7,0.0,0.0,No
LOC-001,Mississauga City Centre,11,11:00,32.1,180,17.8,0.0,0.0,No
LOC-001,Mississauga City Centre,12,12:00,56.0,180,31.1,0.0,0.0,No
LOC-001,Mississauga City Centre,13,13:00,44.9,180,24.9,0.0,0.0,No
LOC-001,Mississauga City Centre,14,14:00,29.2,180,16.2,0.0,0.0,No
LOC-001,Mississauga City Centre,15,15:00,35.5,180,19.7,0.0,0.0,No
LOC-001,Mississauga City Centre,16,16:00,68.0,180,37.8,0.0,0.0,No
LOC-001,Mississauga City Centre,17,17:00,126.7,180,70.4,26.0,3.9,Yes
LOC-001,Mississauga City Centre,18,18:00,157.7,180,87.6,62.8,9.8,Yes
LOC-001,Mississauga City Centre,19,19:00,143.9,180,79.9,49.2,7.2,Yes
LOC-001,Mississauga City Centre,20,20:00,93.7,180,52.1,0.0,0.0,No
LOC-001,Mississauga City Centre,21,21:00,52.2,180,29.0,0.0,0.0,No
LOC-001,Mississauga City Centre,22,22:00,22.5,180,12.5,0.0,0.0,No
LOC-001,Mississauga City Centre,23,23:00,9.2,180,5.1,0.0,0.0,No
LOC-002,Toronto Downtown,5,05:00,15.5,220,7.0,0.0,0.0,No
LOC-002,Toronto Downtown,6,06:00,43.1,220,19.6,0.0,0.0,No
LOC-002,Toronto Downtown,7,07:00,95.0,220,43.2,0.0,0.0,No
LOC-002,Toronto Downtown,8,08:00,75.5,220,34.3,0.0,0.0,No
LOC-002,Toronto Downtown,9,09:00,55.5,220,25.2,0.0,0.0,No
